id,MedGen,Orphanet,GARD,WebSTR_hg38,WebSTR_hg19
ALS1_NIPA1,400169,,,5135087,
BPES_FOXL2,66312,126,23,,
CANVAS_RFC1,482853,504476,17937,4722884; 99101,STR_1036603
CCD_RUNX2,3486,1452,6118,5789216,
CCHS_PHOX2B,1794285,661,8535,4725362,Expansion_CCHS/PHOX2B
CJD_PRNP,155837,282166,17307,,
CPEO_POLG,897191; 371919,520820,15215; 13174,5177947,STR_493430
DBQD2_XYLT1,862731,1425,16466,793606,
DM1_DMPK,886881,273,8310,5650727,Expansion_DM1/DMPK
DM2_CNBP,419137,606,9728,741073,
DMD_DMD,3925,98896,6291,,STR_1545664
DRPLA_ATN1,155630,101,5643,5050156,Expansion_ATN1/DRPLA
EDM1-PSACH_COMP,98378; 325376,750; 93308,4540; 2180,1317658,STR_673389
EIEE1_ARX,483052,182079,15298,843651,STR_1542607
EPM1_CSTB,155923,308,3876,5547429,STR_886261
FAME1_SAMD12,371424,86814,18082,1087693,
FAME2_STARD7,375031,86814,18083,286156,STR_754470
FAME3_MARCHF6,462210,86814,18084,5994579,STR_1116660
FAME4_YEATS2,767474,86814,16758,5034940; 769177,STR_1006941
FAME6_TNRC6A,1648448,86814,16758,5951520,STR_519979
FAME7_RAPGEF2,1648435,86814,16758,154264; 4792219,STR_1096016
FECD3_TCF4,442479,98974,10018,6247607; 463325,
FRA12A_DIP2B,369613,,,5075695,Expansion_FRA12A_MR/DIP2B
FRA2A_AFF3,,,,288936,
FRA7A_ZNF713,,,,1380240; 5696269,STR_1325788
FRAXE_AFF2,155512,100973,2378,,
FRDA_FXN,383962,95,6468,1509872,
FTDALS1_C9orf72,1830423,275872,18396,5877863; 1502453,STR_1475506
FXS_FMR1,8912; 1644269; 333403,908; 642691; 93256,6464; 16806,885222,Expansion_FXS/FMR1
GDPAG_GLS,987241,,,333878; 5494902,STR_803303
HD_HTT,5654,399,6677,4701738; 86468; 86467,Expansion_HD/HTT
HDL2_JPH3,341120,98934,16874,828516; 5987878,Expansion_HDL2/JPH3
HFG_HOXA13-I,331103,2438,2594,5679832,STR_1311037
HFG_HOXA13-II,331103,2438,2594,5679831,STR_1311036
HFG_HOXA13-III,331103,2438,2594,1365344,STR_1311035
HMNR7_VWA1,1786836,314485,18444,1099767,
HPE5_ZIC2,355304,2162,6665,5374719,STR_395661
HSAN-VIII_PRDM12,894363,478664,17866,1543400,STR_1521945
JBS_CBL,162878,2308,307,6166081; 430025,STR_266122
NIID_NOTCH2NLC,355075,2289,3971,,
OPDM_ABCD3,320250,98897,12592,1164141; 6329150,STR_58687
OPDM1_LRP12,1684682,,15097,1082178; 4874587,STR_1441036
OPDM2_GIPC1,1718769,,16397,5626440,STR_668861
OPDM4_RILPL1,1809981,98897,12592,5128610; 609239,STR_347096
OPMD_PABPN1,1054618,270,7245,1442709; 5271481,Expansion_OPMD/PAPBN1
OPML1_NUTM2B-AS1,1684701,,,,STR_173942
PRTS_ARX,163237,94083,4235,,
RCPS_EIF4A3,336581,3102,4718,,
SBMA_AR,333282,481,6818,859199,
SCA_THAP11,431598,,10748,814002; 5973136,STR_540982
SCA1_ATXN1,155703,98755,4071,5767842,Expansion_SCA1/ATXN1
SCA10_ATXN10,369786,98761,10474,1027359; 4921433,STR_909210
SCA12_PPP2R2B,347653,98762,10476,985593; 6072892,Expansion_SCA12/PPP2R2B
SCA17_TBP,337637,98759,10469,83566,
SCA2_ATXN2,155704,98756,4072,598560; 5117050,Expansion_SCA2/ATXN2
SCA27B_FGF14,1824051,675216,,1272528,
SCA3_ATXN3,9841,98757,6801,5316666; 1481402,Expansion_SCA3_MJD/ATXN3
SCA31_BEAN1,348439,217012,9975,812447; 5971756,STR_539736
SCA36_NOP56,483339,276198,12367,6177296; 890490,STR_833720
SCA37_DAB1,855217,363710,12368,1144531,STR_39393
SCA4_ZFHX3,199815,98765,9970,5977326,STR_545217
SCA6_CACNA1A,148458,98758,10351,5624835,Expansion_SCA6/CACNA1A
SCA7_ATXN7,156006,94147,20405,4965588,Expansion_SCA7/ATXN7
SCA8_ATXN8OS,332457,98760,4956,5356762,Expansion_SCA8/ATXN8
SD5_HOXD13,1809573,295195,17358,5486677,STR_796395
TOF_TBX1,21498,3303,2245,4900984,STR_889797
VACTERLX_ZIC3,419019,,15309,883856,STR_1596381
XLMR_SOX3,394771,67045,,,STR_1597784
