GeneName	PMID	PublicationYear
AFF2	35431806	2022
AFF2	34111553	2021
AFF2	28812997	2017
AFF2	25171808	2014
AFF2	24763282	2014
AFF2	24578575	2014
AFF2	22718980	2012
AFF2	21739600	2011
AFF2	21254876	2011
AFF2	21051337	2010
AFF2	17635840	2007
AFF2	17516099	2007
AFF2	16469443	2006
AFF2	11119302	2000
AFF2	10780779	2000
AFF2	10674158	2000
AFF2	10424820	1999
AFF2	9630071	1998
AFF2	9415475	1998
AFF2	9415473	1998
AFF2	9341861	1997
AFF2	8808600	1996
AFF2	8844091	1996
AFF2	8755928	1996
AFF2	8673086	1996
AFF2	7541938	1995
AFF2	7783163	1995
AFF2	7881407	1994
AFF2	7977354	1994
AFF2	8023854	1994
AFF2	8162055	1994
AFF2	8118462	1994
AFF2	8334699	1993
AFF3	24763282	2014
AR	38092433	2023
AR	38070873	2023
AR	38039182	2023
AR	37936145	2023
AR	37917583	2023
AR	37895217	2023
AR	37797921	2023
AR	37718889	2023
AR	37715620	2023
AR	37551886	2023
AR	37422780	2023
AR	37269008	2023
AR	37246875	2023
AR	37245150	2023
AR	37236636	2023
AR	37218915	2023
AR	37203780	2023
AR	37045687	2023
AR	37021796	2023
AR	36988133	2023
AR	36963214	2023
AR	36797998	2023
AR	36764521	2023
AR	36753234	2023
AR	36717478	2023
AR	36701310	2023
AR	36622568	2023
AR	36599645	2023
AR	36585400	2022
AR	36516086	2022
AR	36399603	2022
AR	36389718	2022
AR	36142533	2022
AR	36137740	2022
AR	36064847	2022
AR	35995509	2022
AR	35986450	2022
AR	35982373	2022
AR	35876459	2022
AR	35872088	2022
AR	35867854	2022
AR	35790065	2022
AR	35747128	2022
AR	35661131	2022
AR	35599735	2022
AR	35571498	2022
AR	35559873	2022
AR	35492873	2022
AR	35483041	2022
AR	35477687	2022
AR	35438841	2022
AR	35405431	2022
AR	35392298	2022
AR	35357736	2022
AR	35320625	2022
AR	35311493	2022
AR	35241644	2022
AR	35237894	2022
AR	35230239	2022
AR	35226812	2022
AR	35216102	2022
AR	35189449	2022
AR	35182509	2022
AR	35165376	2022
AR	35121673	2022
AR	34970537	2022
AR	34914563	2021
AR	34772774	2021
AR	34744823	2021
AR	34723064	2021
AR	34696493	2021
AR	34642183	2021
AR	34571287	2021
AR	34407295	2021
AR	34390226	2021
AR	34386583	2021
AR	34372915	2021
AR	34330826	2021
AR	34284322	2021
AR	34250228	2021
AR	34162750	2021
AR	34157302	2021
AR	34114350	2021
AR	34042322	2021
AR	34006154	2021
AR	33865179	2021
AR	33828295	2021
AR	33738134	2021
AR	33714752	2021
AR	33532967	2021
AR	33497365	2021
AR	33407074	2021
AR	33261638	2020
AR	33261594	2020
AR	33191626	2020
AR	33092988	2020
AR	33033972	2020
AR	32989102	2020
AR	32958650	2020
AR	32898378	2020
AR	32856855	2020
AR	32790968	2020
AR	32755582	2020
AR	32675561	2020
AR	32468478	2020
AR	32456808	2020
AR	32441280	2020
AR	32216057	2020
AR	32186845	2020
AR	32166698	2020
AR	32152060	2020
AR	32146146	2020
AR	32109384	2020
AR	32070397	2020
AR	31901908	2020
AR	31785809	2019
AR	31765988	2019
AR	31637998	2019
AR	31566882	2019
AR	31522753	2019
AR	31446215	2019
AR	31303548	2019
AR	31278392	2019
AR	31235698	2019
AR	31179189	2019
AR	31101752	2019
AR	31059641	2019
AR	31041398	2019
AR	31040020	2019
AR	31030566	2019
AR	31027261	2019
AR	31019916	2019
AR	30984523	2019
AR	30975744	2019
AR	30970188	2019
AR	30940675	2019
AR	30914715	2019
AR	30891637	2019
AR	30886222	2019
AR	30867264	2019
AR	30838350	2019
AR	30837566	2019
AR	30835869	2019
AR	30782585	2019
AR	30730308	2019
AR	30626931	2019
AR	30615214	2019
AR	30612224	2019
AR	30587312	2018
AR	30561649	2018
AR	30415810	2018
AR	30351503	2018
AR	30337273	2018
AR	30314815	2018
AR	30300666	2018
AR	30247609	2018
AR	30206564	2018
AR	30206283	2018
AR	30156935	2018
AR	30156032	2018
AR	30139231	2018
AR	30120431	2018
AR	30098193	2018
AR	30068596	2018
AR	30048811	2018
AR	30019487	2018
AR	30019104	2018
AR	30018080	2018
AR	29985869	2018
AR	29976934	2018
AR	29914823	2018
AR	29886316	2018
AR	29809168	2018
AR	29714466	2018
AR	29708512	2018
AR	29706560	2018
AR	29699489	2018
AR	29620480	2018
AR	29571584	2018
AR	29556396	2018
AR	29464380	2018
AR	29426412	2018
AR	29395054	2018
AR	29367444	2018
AR	29358229	2018
AR	29299905	2018
AR	29249939	2017
AR	29066341	2017
AR	29044734	2017
AR	29029703	2017
AR	28968828	2017
AR	28963363	2017
