external_synonym	hgnc_symbol
ABC43	ABCD3
PMP70	ABCD3
PXMP1	ABCD3
ZWS2	ABCD3
PMP70	ABCD3
PXMP1	ABCD3
PMP70	ABCD3
PXMP1	ABCD3
ZWS2	ABCD3
FMR2	AFF2
FMR2P	AFF2
FRAXE	AFF2
MRX2	AFF2
OX19	AFF2
309540	AFF2
FMR2	AFF2
OX19	AFF2
FMR2	AFF2
FRAXE	AFF2
FMR2	AFF2
FMR2P	AFF2
FRAXE	AFF2
MRX2	AFF2
OX19	AFF2
309540	AFF2
FMR2	AFF2
OX19	AFF2
FMR2	AFF2
FRAXE	AFF2
LAF4	AFF3
MLLT2-like	AFF3
LAF4	AFF3
LAF4	AFF3
MLLT2-like	AFF3
AIS	AR
DHTR	AR
HUMARA	AR
HYSP1	AR
KD	AR
NR3C4	AR
SBMA	AR
SMAX1	AR
TFM	AR
308370	AR
DHTR	AR
NR3C4	AR
AIS	AR
DHTR	AR
HUMARA	AR
NR3C4	AR
SBMA	AR
SMAX1	AR
CT121	ARX
EIEE1	ARX
ISSX	ARX
MRX29	ARX
MRX32	ARX
MRX33	ARX
MRX36	ARX
MRX38	ARX
MRX43	ARX
MRX54	ARX
MRX76	ARX
MRX87	ARX
MRXS1	ARX
PRTS	ARX
300077	ARX
300430	ARX
300503	ARX
300432	ARX
CT121	ARX
EIEE1	ARX
ISSX	ARX
MRX29	ARX
MRX32	ARX
MRX33	ARX
MRX36	ARX
MRX38	ARX
MRX43	ARX
MRX54	ARX
MRX76	ARX
MRX87	ARX
MRXS1	ARX
PRTS	ARX
B37	ATN1
D12S755E	ATN1
DRPLA	ATN1
HRS	ATN1
NOD	ATN1
140340	ATN1
D12S755E	ATN1
DRPLA	ATN1
B37	ATN1
D12S755E	ATN1
DRPLA	ATN1
B37	ATN1
D12S755E	ATN1
DRPLA	ATN1
HRS	ATN1
NOD	ATN1
140340	ATN1
D12S755E	ATN1
DRPLA	ATN1
B37	ATN1
D12S755E	ATN1
DRPLA	ATN1
ATX1	ATXN1
D6S504E	ATXN1
SCA1	ATXN1
117400	ATXN1
164600	ATXN1
ATX1	ATXN1
SCA1	ATXN1
ATX1	ATXN1
D6S504E	ATXN1
SCA1	ATXN1
E46L	ATXN10
HUMEEP	ATXN10
SCA10	ATXN10
SCA10	ATXN10
E46L	ATXN10
FLJ37990	ATXN10
SCA10	ATXN10
ASL13	ATXN2
ATX2	ATXN2
SCA2	ATXN2
TNRC13	ATXN2
117350	ATXN2
ATX2	ATXN2
SCA2	ATXN2
TNRC13	ATXN2
ATX2	ATXN2
SCA2	ATXN2
TNRC13	ATXN2
AT3	ATXN3
ATX3	ATXN3
JOS	ATXN3
MJD	ATXN3
MJD1	ATXN3
RP11-529H20.5	ATXN3
