Gene	Earliest_Pub_Date	NumPub
ABCD3	2022	20
AFF2	2014	2
AFF3	2022	20
AR	2009	4
ARX	2018	20
ATN1	2021	20
ATXN1	2014	20
ATXN10	2022	20
ATXN2	2022	20
ATXN3	2023	20
ATXN7	2010	20
ATXN8OS	2014	9
BEAN1	2023	20
C9orf72	2017	20
CACNA1A	2023	20
COMP	2000	20
CSTB	2017	6
DAB1	2007	5
DIP2B	2010	20
DMD	2022	20
DMPK	2017	2
EIF4A3	2004	12
FGF14	2022	20
FMR1	1995	1
FOXL2	2022	20
FXN	2012	13
GIPC1	1995	13
GLS	2013	2
HOXA13	2014	3
HOXD13	2023	20
HTT	2001	20
JPH3	2016	14
LRP12	1998	13
NIPA1	2014	20
NOP56	2022	20
NOTCH2NLC	2022	1
NUTM2B-AS1	2001	20
PABPN1	2014	20
PHOX2B	1999	3
POLG	2011	20
PPP2R2B	2016	20
PRDM12	2018	4
PRNP	2022	20
RAPGEF2	2022	4
RFC1	2011	6
RILPL1	2018	16
RUNX2	2011	3
SAMD12	2019	2
SOX3	2020	20
STARD7	1994	18
TBP	2018	20
TBX1	2018	4
TCF4	2021	1
TNRC6A	2019	2
VWA1	2019	1
XYLT1	2014	1
ABCD3	2022	20
AFF2	2014	2
AFF3	2022	20
AR	2009	4
ARX	2018	20
ATN1	2021	20
ATXN1	2014	20
ATXN10	2022	20
ATXN2	2022	20
ATXN3	2023	20
ATXN7	2010	20
ATXN8OS	2014	9
BEAN1	2023	20
C9orf72	2017	20
CACNA1A	2023	20
COMP	2000	20
CSTB	2017	6
DAB1	2007	5
DIP2B	2010	20
DMD	2022	20
DMPK	2017	2
EIF4A3	2004	12
FGF14	2022	20
FMR1	1995	1
FOXL2	2022	20
FXN	2012	13
GIPC1	1995	13
GLS	2013	2
HOXA13	2014	3
HOXD13	2023	20
HTT	2001	20
JPH3	2016	14
LRP12	1998	13
NIPA1	2014	20
NOP56	2022	20
NOTCH2NLC	2022	1
NUTM2B-AS1	2001	20
PABPN1	2014	20
PHOX2B	1999	3
POLG	2011	20
PPP2R2B	2016	20
PRDM12	2018	4
PRNP	2022	20
RAPGEF2	2022	4
RFC1	2011	6
RILPL1	2018	16
RUNX2	2011	3
SAMD12	2019	2
SOX3	2020	20
STARD7	1994	18
TBP	2018	20
TBX1	2018	4
TCF4	2021	1
TNRC6A	2019	2
VWA1	2019	1
XYLT1	2014	1
